assessment_id,control_id,control_family,system_id,system_name,assessment_date,assessment_type,assessor,implementation_status,effectiveness_rating,gap_description,remediation_plan,remediation_due_date,remediation_owner,findings
7f5b3b7e-2d0f-43ff-a666-3e0e09d7e502,SI-2,System and Information Integrity,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-02,Self-Assessment,External Auditor - KPMG,Partially Implemented,Partially Effective,"Configuration drift detected, remediation in progress",Implement automated control monitoring by Q1 2025,2025-12-18,William Johnson,Assessment of SI-2 for Financial HRIS
a23e5c35-5f7c-4ae7-9c7b-9871b2135efb,MA-5,Maintenance,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-07,Internal Audit,External Auditor - KPMG,Not Implemented,Not Effective,Third-party dependency blocking full implementation,Implement automated control monitoring by Q1 2025,2025-12-11,William Johnson,Assessment of MA-5 for Financial HRIS
8b368eb5-2e16-453c-ac73-bec9c7601278,PL-1,Planning,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-24,External Audit,Security Operations,Implemented,Effective,,,,,Assessment of PL-1 for Financial HRIS
4ee5447f-5721-4901-8253-e261d83f0765,SC-12,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-02,Self-Assessment,GRC Team,Implemented,Effective,,,,,Assessment of SC-12 for Financial HRIS
2048eb5c-aee5-476b-952c-e36a12d01c4c,IA-7,Identification and Authentication,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-19,Internal Audit,Risk Management,Implemented,Effective,,,,,Assessment of IA-7 for Financial HRIS
49a00696-78cf-4867-8282-0a2436fa524a,PE-12,Physical and Environmental Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-06,Internal Audit,Risk Management,Partially Implemented,Partially Effective,Pending vendor support for required functionality,Implement automated compliance checks,2025-08-20,William Johnson,Assessment of PE-12 for Financial HRIS
4ef99731-e9dd-4cbf-a002-f20db994f83a,SC-13,System and Communications Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-19,Internal Audit,Security Operations,Implemented,Effective,,,,,Assessment of SC-13 for Financial HRIS
eb3869fa-4897-41ad-8ff5-ed3bfcba58e4,PM-6,Program Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-13,Internal Audit,External Auditor - KPMG,Not Implemented,Not Effective,"Configuration drift detected, remediation in progress",Engage vendor for implementation support,2025-10-07,William Johnson,Assessment of PM-6 for Financial HRIS
1dd91cd6-29a6-4697-a3c2-352c2b702650,SR-8,Supply Chain Risk Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-22,Internal Audit,Internal Audit Team,Implemented,Effective,,,,,Assessment of SR-8 for Financial HRIS
35593b93-b3f5-4764-8f4a-e938f060c38a,IA-1,Identification and Authentication,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-18,Internal Audit,Compliance Team,Implemented,Effective,,,,,Assessment of IA-1 for Financial HRIS
6a3f36db-376a-4f0c-8ebe-a6b2eae0da2a,RA-3,Risk Assessment,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-19,Self-Assessment,IT Security Team,Not Applicable,,,,,,Assessment of RA-3 for Financial HRIS
34874a96-fc8b-4065-b864-ebaf0c5e6054,PE-15,Physical and Environmental Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-10,Self-Assessment,Risk Management,Implemented,Effective,,,,,Assessment of PE-15 for Financial HRIS
11eba47c-2b74-4699-92d7-0b0251ca5006,PS-5,Personnel Security,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-03,Internal Audit,External Auditor - KPMG,Implemented,Effective,,,,,Assessment of PS-5 for Financial HRIS
19865e16-a710-40fa-ab97-1d758006b106,PM-3,Program Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-08-22,Self-Assessment,Internal Audit Team,Partially Implemented,Partially Effective,"Configuration drift detected, remediation in progress",Deploy centralized logging solution,2026-01-02,William Johnson,Assessment of PM-3 for Financial HRIS
c92671af-dd45-495d-88ee-c24a44245257,CM-10,Configuration Management,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-16,Internal Audit,External Auditor - PwC,Implemented,Effective,,,,,Assessment of CM-10 for Financial HRIS
26eac8ad-be88-4a8c-895a-165891d3794e,PE-2,Physical and Environmental Protection,78460fd6-1df2-4bea-a9db-1e1c4546166f,Financial HRIS,2025-07-21,Self-Assessment,External Auditor - Deloitte,Implemented,Effective,,,,,Assessment of PE-2 for Financial HRIS
